model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,1000000,6611,12.33%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,2500000,8339,15.55%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,5000000,9620,17.94%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,7500000,10385,19.36%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,10000000,10927,20.37%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,25000000,12911,24.07%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,50000000,14489,27.01%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,75000000,15441,28.79%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,100000000,16120,30.06%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,250000000,18538,34.56%
plrgan,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,500000000,20320,37.89%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,1000000,2720,4.99%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,2500000,4302,7.89%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,5000000,5802,10.64%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,7500000,6723,12.33%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,10000000,7406,13.58%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,25000000,9669,17.73%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,50000000,11473,21.03%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,75000000,12530,22.97%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,100000000,13326,24.43%
