model,train-dataset,test-settings,test-hash,test-size,n_samples,#matches,match_percentage
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,1000000,1548,2.16%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,2500000,2712,3.79%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,5000000,3872,5.41%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,7500000,4696,6.56%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,10000000,5341,7.46%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,25000000,7671,10.71%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,50000000,9616,13.43%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,75000000,10783,15.06%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,100000000,11614,16.22%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,250000000,14341,20.03%
passgan,gmail,all-12-10-100-80,57fddb4c45da3a9fcfc75ff9510f2ba8,71596,500000000,16415,22.93%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,1000000,7916,2.32%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,2500000,14931,4.38%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,5000000,22251,6.53%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,7500000,27412,8.05%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,10000000,31410,9.22%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,25000000,45052,13.23%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,50000000,56248,16.51%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,75000000,63021,18.50%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,100000000,67852,19.92%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,250000000,83100,24.40%
passgan,rockyou,all-12-10-100-80,bf62eff2c9364af2883171f1c90f41b8,340590,500000000,94795,27.83%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,1000000,668,0.07%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,2500000,1620,0.16%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,5000000,2831,0.28%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,7500000,3892,0.39%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,10000000,4796,0.48%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,25000000,9071,0.91%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,50000000,13650,1.37%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,75000000,16994,1.70%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,100000000,19780,1.98%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,250000000,30332,3.04%
passgan,linkedin,all-12-10-100-80,4ba93007e0191938ef0aad412ab0d7c8,998372,500000000,40117,4.02%
passgan,000webhost,all-12-10-100-80,210e23fa7e08d9800d0e30eb9e55bca3,207042,1000000,583,0.28%
