model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
passgan,ashleymadison,all-12-100-80,500000000,9,9888,NONE,2.09
passgan,ashleymadison,all-12-100-80,500000000,6,14721,NONE,42.88
passgan,ashleymadison,all-12-100-80,500000000,8,18668,NONE,8.67
passgan,ashleymadison,all-12-100-80,500000000,5,5385,NONE,59.42
passgan,ashleymadison,all-12-100-80,500000000,10,7228,NONE,0.28
passgan,ashleymadison,all-12-100-80,500000000,7,13723,NONE,21.42
passgan,ashleymadison,all-12-100-80,500000000,11,1633,NONE,0.0
passgan,ashleymadison,all-12-100-80,500000000,4,1926,NONE,78.45
passgan,ashleymadison,all-12-100-80,500000000,3,155,NONE,83.23
passgan,ashleymadison,all-12-100-80,500000000,12,966,NONE,0.0
passgan,ashleymadison,all-12-100-80,500000000,2,21,NONE,100.0
passgan,ashleymadison,all-12-100-80,500000000,1,6,NONE,83.33
passgan,libero,all-12-100-80,500000000,8,31477,NONE,25.44
passgan,libero,all-12-100-80,500000000,9,17438,NONE,12.12
passgan,libero,all-12-100-80,500000000,7,9459,NONE,31.05
passgan,libero,all-12-100-80,500000000,10,12247,NONE,5.49
passgan,libero,all-12-100-80,500000000,6,12737,NONE,56.91
passgan,libero,all-12-100-80,500000000,11,6487,NONE,2.64
passgan,libero,all-12-100-80,500000000,12,4697,NONE,0.43
passgan,libero,all-12-100-80,500000000,5,44,NONE,38.64
passgan,libero,all-12-100-80,500000000,4,27,NONE,62.96
passgan,libero,all-12-100-80,500000000,3,2,NONE,0.0
passgan,libero,all-12-100-80,500000000,2,1,NONE,0.0
passgan,mailru,all-12-100-80,500000000,10,50972,NONE,0.37
passgan,mailru,all-12-100-80,500000000,8,135007,NONE,13.41
passgan,mailru,all-12-100-80,500000000,7,85038,NONE,16.92
passgan,mailru,all-12-100-80,500000000,12,29474,NONE,0.0
passgan,mailru,all-12-100-80,500000000,6,79124,NONE,47.31
passgan,mailru,all-12-100-80,500000000,9,74501,NONE,7.9
passgan,mailru,all-12-100-80,500000000,11,36530,NONE,0.02
passgan,mailru,all-12-100-80,500000000,5,4663,NONE,51.45
passgan,mailru,all-12-100-80,500000000,4,3013,NONE,68.74
passgan,mailru,all-12-100-80,500000000,3,111,NONE,69.37
passgan,mailru,all-12-100-80,500000000,1,1,NONE,100.0
passgan,mailru,all-12-100-80,500000000,2,2,NONE,100.0
passgan,gmail,all-12-100-80,500000000,7,93461,NONE,12.59
passgan,gmail,all-12-100-80,500000000,6,106116,NONE,41.84
passgan,gmail,all-12-100-80,500000000,10,121286,NONE,0.1
passgan,gmail,all-12-100-80,500000000,8,217137,NONE,4.79
passgan,gmail,all-12-100-80,500000000,9,109135,NONE,0.72
passgan,gmail,all-12-100-80,500000000,11,27565,NONE,0.0
passgan,gmail,all-12-100-80,500000000,4,5044,NONE,77.72
passgan,gmail,all-12-100-80,500000000,5,16700,NONE,62.5
passgan,gmail,all-12-100-80,500000000,12,17203,NONE,0.0
passgan,gmail,all-12-100-80,500000000,3,2080,NONE,35.05
passgan,gmail,all-12-100-80,500000000,2,197,NONE,60.91
passgan,gmail,all-12-100-80,500000000,1,27,NONE,85.19
passgan,taobao,all-12-100-80,500000000,11,159572,NONE,0.62
passgan,taobao,all-12-100-80,500000000,9,230425,NONE,3.2
passgan,taobao,all-12-100-80,500000000,7,169805,NONE,37.39
passgan,taobao,all-12-100-80,500000000,12,100824,NONE,0.34
passgan,taobao,all-12-100-80,500000000,6,109352,NONE,39.32
passgan,taobao,all-12-100-80,500000000,8,210559,NONE,13.24
passgan,taobao,all-12-100-80,500000000,10,233478,NONE,1.49
passgan,taobao,all-12-100-80,500000000,4,1246,NONE,30.9
passgan,taobao,all-12-100-80,500000000,3,249,NONE,18.07
passgan,taobao,all-12-100-80,500000000,5,1699,NONE,26.78
passgan,taobao,all-12-100-80,500000000,2,55,NONE,7.27
passgan,taobao,all-12-100-80,500000000,1,28,NONE,0.0
passgan,000webhost,all-12-100-80,500000000,8,537956,NONE,3.3
passgan,000webhost,all-12-100-80,500000000,10,375335,NONE,0.26
passgan,000webhost,all-12-100-80,500000000,7,179285,NONE,8.0
passgan,000webhost,all-12-100-80,500000000,6,109152,NONE,14.53
passgan,000webhost,all-12-100-80,500000000,12,206791,NONE,0.0
passgan,000webhost,all-12-100-80,500000000,5,445,NONE,16.4
passgan,000webhost,all-12-100-80,500000000,11,281474,NONE,0.03
passgan,000webhost,all-12-100-80,500000000,9,379528,NONE,1.4
passgan,000webhost,all-12-100-80,500000000,2,109,NONE,46.79
passgan,000webhost,all-12-100-80,500000000,4,154,NONE,32.47
passgan,000webhost,all-12-100-80,500000000,3,126,NONE,23.81
passgan,000webhost,all-12-100-80,500000000,1,55,NONE,52.73
