model,train-dataset,test-settings,n_samples,pattern,test-size,matches,match_percentage
passgan,libero,all-12-100-80,500000000,r1,30736,7311,23.79
passgan,libero,all-12-100-80,500000000,r2,27510,7244,26.33
passgan,libero,all-12-100-80,500000000,r6,47539,5963,12.54
passgan,libero,all-12-100-80,500000000,r10,37530,5907,15.74
passgan,libero,all-12-100-80,500000000,r4,13767,7927,57.58
passgan,libero,all-12-100-80,500000000,r14,17276,7937,45.94
passgan,libero,all-12-100-80,500000000,r19,7552,1844,24.42
passgan,libero,all-12-100-80,500000000,r3,1889,3,0.16
passgan,libero,all-12-100-80,500000000,r7,654,2,0.31
passgan,libero,all-12-100-80,500000000,r11,865,3,0.35
passgan,libero,all-12-100-80,500000000,r9,1803,1,0.06
passgan,libero,all-12-100-80,500000000,r12,272,5,1.84
passgan,libero,all-12-100-80,500000000,r17,76,0,0.0
passgan,libero,all-12-100-80,500000000,r13,100,0,0.0
passgan,libero,all-12-100-80,500000000,r18,276,3,1.09
passgan,libero,all-12-100-80,500000000,r8,114,0,0.0
passgan,libero,all-12-100-80,500000000,r15,17,0,0.0
passgan,libero,all-12-100-80,500000000,r16,108,0,0.0
passgan,libero,all-12-100-80,500000000,r5,3,0,0.0
passgan,000webhost,all-12-100-80,500000000,r6,1935998,54119,2.8
passgan,000webhost,all-12-100-80,500000000,r10,1478614,52077,3.52
passgan,000webhost,all-12-100-80,500000000,r19,282295,9753,3.45
passgan,000webhost,all-12-100-80,500000000,r14,77142,282,0.37
passgan,000webhost,all-12-100-80,500000000,r1,3852,78,2.02
passgan,000webhost,all-12-100-80,500000000,r2,3325,76,2.29
passgan,000webhost,all-12-100-80,500000000,r9,97634,112,0.11
passgan,000webhost,all-12-100-80,500000000,r7,24118,7,0.03
passgan,000webhost,all-12-100-80,500000000,r12,15283,16,0.1
passgan,000webhost,all-12-100-80,500000000,r11,38614,16,0.04
passgan,000webhost,all-12-100-80,500000000,r18,9614,0,0.0
passgan,000webhost,all-12-100-80,500000000,r16,382,0,0.0
passgan,000webhost,all-12-100-80,500000000,r13,9805,18,0.18
passgan,000webhost,all-12-100-80,500000000,r8,8049,26,0.32
passgan,000webhost,all-12-100-80,500000000,r17,356,2,0.56
passgan,000webhost,all-12-100-80,500000000,r4,639,223,34.9
passgan,000webhost,all-12-100-80,500000000,r15,90,0,0.0
passgan,000webhost,all-12-100-80,500000000,r5,120,4,3.33
passgan,000webhost,all-12-100-80,500000000,r3,130,2,1.54
passgan,rockyou,all-12-100-80,500000000,r1,1047367,117775,11.24
passgan,rockyou,all-12-100-80,500000000,r2,953153,117396,12.32
passgan,rockyou,all-12-100-80,500000000,r4,584993,201044,34.37
passgan,rockyou,all-12-100-80,500000000,r14,618828,201157,32.51
passgan,rockyou,all-12-100-80,500000000,r19,319916,48486,15.16
passgan,rockyou,all-12-100-80,500000000,r6,1601712,102095,6.37
passgan,rockyou,all-12-100-80,500000000,r10,1363449,98939,7.26
passgan,rockyou,all-12-100-80,500000000,r7,79287,163,0.21
passgan,rockyou,all-12-100-80,500000000,r3,56691,32,0.06
passgan,rockyou,all-12-100-80,500000000,r9,83512,10,0.01
passgan,rockyou,all-12-100-80,500000000,r12,30124,305,1.01
passgan,rockyou,all-12-100-80,500000000,r11,54880,163,0.3
passgan,rockyou,all-12-100-80,500000000,r18,21336,0,0.0
passgan,rockyou,all-12-100-80,500000000,r8,8667,20,0.23
passgan,rockyou,all-12-100-80,500000000,r13,5210,5,0.1
