combo,train-dataset,test-settings,n_samples,intersection,union,jaccard-index
fla-passflow,rockyou,all-12-100-80,500000000,41614496,912543090,0.0456
fla-passgan,rockyou,all-12-100-80,500000000,25100873,731549379,0.0343
fla-passgpt,rockyou,all-12-100-80,500000000,110315752,751130936,0.1469
fla-plrgan,rockyou,all-12-100-80,500000000,46247203,833947846,0.0555
fla-vgpt2,rockyou,all-12-100-80,500000000,36296712,932532236,0.0389
passflow-passgan,rockyou,all-12-100-80,500000000,11532920,699397323,0.0165
passflow-passgpt,rockyou,all-12-100-80,500000000,18433759,797292920,0.0231
passflow-plrgan,rockyou,all-12-100-80,500000000,18640942,815834098,0.0228
passflow-vgpt2,rockyou,all-12-100-80,500000000,26391880,896717059,0.0294
passgan-passgpt,rockyou,all-12-100-80,500000000,11487040,606732304,0.0189
passgan-plrgan,rockyou,all-12-100-80,500000000,11546247,625421458,0.0185
passgan-vgpt2,rockyou,all-12-100-80,500000000,10158900,715442704,0.0142
passgpt-plrgan,rockyou,all-12-100-80,500000000,20345789,721418352,0.0282
passgpt-vgpt2,rockyou,all-12-100-80,500000000,16727386,813670654,0.0206
plrgan-vgpt2,rockyou,all-12-100-80,500000000,16811704,832334698,0.0202
fla-passflow,000webhost,all-12-100-80,500000000,12197881,968862939,0.0126
fla-passgan,000webhost,all-12-100-80,500000000,11660758,861586396,0.0135
fla-passgpt,000webhost,all-12-100-80,500000000,60593350,881620303,0.0687
fla-plrgan,000webhost,all-12-100-80,500000000,22316118,943495810,0.0237
fla-vgpt2,000webhost,all-12-100-80,500000000,9659968,987452655,0.0098
passflow-passgan,000webhost,all-12-100-80,500000000,2759581,851606431,0.0032
passflow-passgpt,000webhost,all-12-100-80,500000000,3359717,919972794,0.0037
passflow-plrgan,000webhost,all-12-100-80,500000000,5297595,941633191,0.0056
passflow-vgpt2,000webhost,all-12-100-80,500000000,3306650,974924831,0.0034
passgan-passgpt,000webhost,all-12-100-80,500000000,3173830,812345015,0.0039
passgan-plrgan,000webhost,all-12-100-80,500000000,4543166,834573954,0.0054
passgan-vgpt2,000webhost,all-12-100-80,500000000,2318268,868099547,0.0027
passgpt-plrgan,000webhost,all-12-100-80,500000000,6347676,901735943,0.0070
passgpt-vgpt2,000webhost,all-12-100-80,500000000,2791526,936592788,0.0030
plrgan-vgpt2,000webhost,all-12-100-80,500000000,3790294,959192295,0.0040
fla-passflow,ashleymadison,all-12-100-80,500000000,20371581,931101315,0.0219
fla-passgan,ashleymadison,all-12-100-80,500000000,24603364,706330576,0.0348
fla-passgpt,ashleymadison,all-12-100-80,500000000,67072793,725547950,0.0924
fla-plrgan,ashleymadison,all-12-100-80,500000000,23811784,714413237,0.0333
fla-vgpt2,ashleymadison,all-12-100-80,500000000,510741,855546284,0.0006
passflow-passgan,ashleymadison,all-12-100-80,500000000,5299407,677111280,0.0078
passflow-passgpt,ashleymadison,all-12-100-80,500000000,8437036,735660454,0.0115
passflow-plrgan,ashleymadison,all-12-100-80,500000000,5429832,684271936,0.0079
passflow-vgpt2,ashleymadison,all-12-100-80,500000000,22799,807510973,0.0000
passgan-passgpt,ashleymadison,all-12-100-80,500000000,13899105,509659428,0.0273
passgan-plrgan,ashleymadison,all-12-100-80,500000000,8175544,460987267,0.0177
passgan-vgpt2,ashleymadison,all-12-100-80,500000000,134394,586860421,0.0002
passgpt-plrgan,ashleymadison,all-12-100-80,500000000,13295483,517554131,0.0257
passgpt-vgpt2,ashleymadison,all-12-100-80,500000000,277915,648403703,0.0004
plrgan-vgpt2,ashleymadison,all-12-100-80,500000000,127049,594158848,0.0002
fla-passflow,gmail,all-12-100-80,500000000,21255221,918164882,0.0231
fla-passgan,gmail,all-12-100-80,500000000,19899411,729373076,0.0273
fla-passgpt,gmail,all-12-100-80,500000000,79768287,777019744,0.1027
fla-plrgan,gmail,all-12-100-80,500000000,31137918,831566860,0.0374
fla-vgpt2,gmail,all-12-100-80,500000000,25308106,950087789,0.0266
passflow-passgan,gmail,all-12-100-80,500000000,7649008,681062108,0.0112
passflow-passgpt,gmail,all-12-100-80,500000000,8641397,787585263,0.0110
passflow-plrgan,gmail,all-12-100-80,500000000,8801431,793341976,0.0111
passflow-vgpt2,gmail,all-12-100-80,500000000,14611811,900222713,0.0162
passgan-passgpt,gmail,all-12-100-80,500000000,8159135,597919909,0.0136
passgan-plrgan,gmail,all-12-100-80,500000000,7757352,604238439,0.0128
passgan-vgpt2,gmail,all-12-100-80,500000000,7247975,717438933,0.0101
passgpt-plrgan,gmail,all-12-100-80,500000000,12944314,706567021,0.0183
passgpt-vgpt2,gmail,all-12-100-80,500000000,10284330,821918122,0.0125
plrgan-vgpt2,gmail,all-12-100-80,500000000,10101089,828018110,0.0122
fla-passflow,libero,all-12-100-80,500000000,5243857,977737630,0.0054
fla-passgan,libero,all-12-100-80,500000000,14393078,693237878,0.0208
fla-passgpt,libero,all-12-100-80,500000000,44150185,774837348,0.0570
fla-plrgan,libero,all-12-100-80,500000000,16289214,732581915,0.0222
fla-vgpt2,libero,all-12-100-80,500000000,116689,919651837,0.0001
passflow-passgan,libero,all-12-100-80,500000000,1517157,688832857,0.0022
passflow-passgpt,libero,all-12-100-80,500000000,2324649,799381942,0.0029
passflow-plrgan,libero,all-12-100-80,500000000,1793725,729796462,0.0025
passflow-vgpt2,libero,all-12-100-80,500000000,3049,902484535,0.0000
passgan-passgpt,libero,all-12-100-80,500000000,8333182,518022877,0.0161
passgan-plrgan,libero,all-12-100-80,500000000,5218784,451020871,0.0116
passgan-vgpt2,libero,all-12-100-80,500000000,30137,627106915,0.0000
passgpt-plrgan,libero,all-12-100-80,500000000,9439351,558156881,0.0169
passgpt-vgpt2,libero,all-12-100-80,500000000,63815,738429814,0.0001
plrgan-vgpt2,libero,all-12-100-80,500000000,37658,668339567,0.0001
fla-passflow,linkedin,all-12-100-80,500000000,20157039,955245244,0.0211
fla-passgan,linkedin,all-12-100-80,500000000,21585259,807004169,0.0267
fla-passgpt,linkedin,all-12-100-80,500000000,94213080,809731170,0.1164
fla-plrgan,linkedin,all-12-100-80,500000000,46225296,899536278,0.0514
fla-vgpt2,linkedin,all-12-100-80,500000000,31106968,955094253,0.0326
passflow-passgan,linkedin,all-12-100-80,500000000,4359465,799646793,0.0055
passflow-passgpt,linkedin,all-12-100-80,500000000,7370754,871990326,0.0085
passflow-plrgan,linkedin,all-12-100-80,500000000,8131257,913047147,0.0089
passflow-vgpt2,linkedin,all-12-100-80,500000000,9794081,951823970,0.0103
passgan-passgpt,linkedin,all-12-100-80,500000000,7866290,724681935,0.0109
passgan-plrgan,linkedin,all-12-100-80,500000000,8569859,765795690,0.0112
passgan-vgpt2,linkedin,all-12-100-80,500000000,5946014,808859182,0.0074
passgpt-plrgan,linkedin,all-12-100-80,500000000,16993557,832726813,0.0204
passgpt-vgpt2,linkedin,all-12-100-80,500000000,12047398,878112619,0.0137
plrgan-vgpt2,linkedin,all-12-100-80,500000000,12430801,919546541,0.0135
fla-passflow,mailru,all-12-100-80,500000000,39639462,895841729,0.0442
fla-passgan,mailru,all-12-100-80,500000000,17921164,751287432,0.0239
fla-passgpt,mailru,all-12-100-80,500000000,74125274,786349931,0.0943
fla-plrgan,mailru,all-12-100-80,500000000,24073664,816877952,0.0295
fla-vgpt2,mailru,all-12-100-80,500000000,20545385,960556551,0.0214
passflow-passgan,mailru,all-12-100-80,500000000,8964670,683280431,0.0131
passflow-passgpt,mailru,all-12-100-80,500000000,15741686,767770024,0.0205
passflow-plrgan,mailru,all-12-100-80,500000000,11496584,752491537,0.0153
