combo,train-dataset,test-settings,n_samples,test-size,matches,match_percentage
fla-passflow-passgan-passgpt-plrgan-vgpt2,rockyou,all-12-100-80,500000000,NONE,2195048,64.44%
fla-passflow-passgan-passgpt-plrgan-vgpt2,000webhost,all-12-100-80,500000000,NONE,688217,33.24%
fla-passflow-passgan-passgpt-plrgan-vgpt2,ashleymadison,all-12-100-80,500000000,NONE,50652,68.15%
fla-passflow-passgan-passgpt-plrgan-vgpt2,gmail,all-12-100-80,500000000,NONE,422854,59.06%
fla-passflow-passgan-passgpt-plrgan-vgpt2,libero,all-12-100-80,500000000,NONE,59894,63.30%
fla-passflow-passgan-passgpt-plrgan-vgpt2,linkedin,all-12-100-80,500000000,NONE,4246777,42.53%
fla-passflow-passgan-passgpt-plrgan-vgpt2,mailru,all-12-100-80,500000000,NONE,279320,56.03%
fla-passflow-passgan-passgpt-plrgan-vgpt2,taobao,all-12-100-80,500000000,NONE,586512,48.18%
fla-passflow-passgan-passgpt-plrgan,rockyou,all-12-100-80,500000000,NONE,2187533,64.22%
fla-passflow-passgan-passgpt-plrgan,000webhost,all-12-100-80,500000000,NONE,686773,33.17%
fla-passflow-passgan-passgpt-plrgan,ashleymadison,all-12-100-80,500000000,NONE,50633,68.12%
fla-passflow-passgan-passgpt-plrgan,gmail,all-12-100-80,500000000,NONE,421408,58.85%
fla-passflow-passgan-passgpt-plrgan,libero,all-12-100-80,500000000,NONE,59890,63.29%
fla-passflow-passgan-passgpt-plrgan,linkedin,all-12-100-80,500000000,NONE,4223098,42.29%
fla-passflow-passgan-passgpt-plrgan,mailru,all-12-100-80,500000000,NONE,278806,55.93%
fla-passflow-passgan-passgpt-plrgan,taobao,all-12-100-80,500000000,NONE,583946,47.97%
fla-passflow-passgpt-plrgan,rockyou,all-12-100-80,500000000,NONE,2181273,64.04%
fla-passflow-passgpt-plrgan,000webhost,all-12-100-80,500000000,NONE,684939,33.08%
fla-passflow-passgpt-plrgan,ashleymadison,all-12-100-80,500000000,NONE,50455,67.88%
fla-passflow-passgpt-plrgan,gmail,all-12-100-80,500000000,NONE,420193,58.69%
fla-passflow-passgpt-plrgan,libero,all-12-100-80,500000000,NONE,59691,63.08%
fla-passflow-passgpt-plrgan,linkedin,all-12-100-80,500000000,NONE,4205264,42.12%
fla-passflow-passgpt-plrgan,mailru,all-12-100-80,500000000,NONE,278344,55.84%
fla-passflow-passgpt-plrgan,taobao,all-12-100-80,500000000,NONE,580293,47.67%
fla-passgpt-plrgan,rockyou,all-12-100-80,500000000,NONE,2167947,63.65%
fla-passgpt-plrgan,000webhost,all-12-100-80,500000000,NONE,682793,32.97%
fla-passgpt-plrgan,ashleymadison,all-12-100-80,500000000,NONE,50131,67.45%
fla-passgpt-plrgan,gmail,all-12-100-80,500000000,NONE,417890,58.36%
fla-passgpt-plrgan,libero,all-12-100-80,500000000,NONE,59610,63.00%
fla-passgpt-plrgan,linkedin,all-12-100-80,500000000,NONE,4181919,41.88%
fla-passgpt-plrgan,mailru,all-12-100-80,500000000,NONE,277316,55.63%
fla-passgpt-plrgan,taobao,all-12-100-80,500000000,NONE,575183,47.25%
fla-passgpt,rockyou,all-12-100-80,500000000,NONE,2151801,63.17%
fla-passgpt,000webhost,all-12-100-80,500000000,NONE,679047,32.79%
fla-passgpt,ashleymadison,all-12-100-80,500000000,NONE,49893,67.13%
fla-passgpt,gmail,all-12-100-80,500000000,NONE,415546,58.04%
fla-passgpt,libero,all-12-100-80,500000000,NONE,59363,62.74%
fla-passgpt,linkedin,all-12-100-80,500000000,NONE,4141513,41.48%
fla-passgpt,mailru,all-12-100-80,500000000,NONE,276681,55.50%
fla-passgpt,taobao,all-12-100-80,500000000,NONE,570012,46.82%
fla,rockyou,all-12-100-80,500000000,NONE,2059695,60.47%
fla,000webhost,all-12-100-80,500000000,NONE,668469,32.28%
fla,ashleymadison,all-12-100-80,500000000,NONE,48800,65.66%
fla,gmail,all-12-100-80,500000000,NONE,405771,56.67%
fla,libero,all-12-100-80,500000000,NONE,58292,61.60%
fla,linkedin,all-12-100-80,500000000,NONE,3631686,36.37%
fla,mailru,all-12-100-80,500000000,NONE,273891,54.95%
fla,taobao,all-12-100-80,500000000,NONE,554337,45.53%
