model,train-dataset,test-settings,n_samples,length,matches,match_percentage
passgan,libero,all-12-100-80,500000000,1,69,0.0
passgan,libero,all-12-100-80,500000000,2,985,0.0
passgan,libero,all-12-100-80,500000000,3,7739,0.0
passgan,libero,all-12-100-80,500000000,4,78058,0.02
passgan,libero,all-12-100-80,500000000,5,882330,0.18
passgan,libero,all-12-100-80,500000000,6,85347650,17.08
passgan,libero,all-12-100-80,500000000,7,58509128,11.71
passgan,libero,all-12-100-80,500000000,8,185676087,37.16
passgan,libero,all-12-100-80,500000000,9,74102514,14.83
passgan,libero,all-12-100-80,500000000,10,48432387,9.69
passgan,libero,all-12-100-80,500000000,11,27063432,5.42
passgan,libero,all-12-100-80,500000000,12,19579731,3.92
passgan,000webhost,all-12-100-80,500000000,1,21529,0.0
passgan,000webhost,all-12-100-80,500000000,2,115875,0.02
passgan,000webhost,all-12-100-80,500000000,3,638626,0.13
passgan,000webhost,all-12-100-80,500000000,4,2823146,0.56
passgan,000webhost,all-12-100-80,500000000,5,8977822,1.8
passgan,000webhost,all-12-100-80,500000000,6,29075614,5.82
passgan,000webhost,all-12-100-80,500000000,7,74175519,14.84
passgan,000webhost,all-12-100-80,500000000,8,128109433,25.62
passgan,000webhost,all-12-100-80,500000000,9,92175633,18.44
passgan,000webhost,all-12-100-80,500000000,10,84968003,16.99
passgan,000webhost,all-12-100-80,500000000,11,59942524,11.99
passgan,000webhost,all-12-100-80,500000000,12,18957098,3.79
passgan,rockyou,all-12-100-80,500000000,1,65895,0.01
passgan,rockyou,all-12-100-80,500000000,2,207882,0.04
passgan,rockyou,all-12-100-80,500000000,3,911444,0.18
passgan,rockyou,all-12-100-80,500000000,4,4344673,0.87
passgan,rockyou,all-12-100-80,500000000,5,19976354,4.0
passgan,rockyou,all-12-100-80,500000000,6,111722213,22.35
passgan,rockyou,all-12-100-80,500000000,7,113224364,22.65
passgan,rockyou,all-12-100-80,500000000,8,97542393,19.51
passgan,rockyou,all-12-100-80,500000000,9,61404612,12.28
passgan,rockyou,all-12-100-80,500000000,10,52106120,10.42
passgan,rockyou,all-12-100-80,500000000,11,23535427,4.71
passgan,rockyou,all-12-100-80,500000000,12,14896375,2.98
passgan,mailru,all-12-100-80,500000000,1,38309,0.01
passgan,mailru,all-12-100-80,500000000,2,127878,0.03
passgan,mailru,all-12-100-80,500000000,3,856535,0.17
passgan,mailru,all-12-100-80,500000000,4,3748680,0.75
passgan,mailru,all-12-100-80,500000000,5,16127785,3.23
passgan,mailru,all-12-100-80,500000000,6,97383281,19.48
passgan,mailru,all-12-100-80,500000000,7,92242323,18.45
passgan,mailru,all-12-100-80,500000000,8,125285118,25.06
passgan,mailru,all-12-100-80,500000000,9,64321094,12.87
passgan,mailru,all-12-100-80,500000000,10,53180979,10.64
passgan,mailru,all-12-100-80,500000000,11,32939912,6.59
passgan,mailru,all-12-100-80,500000000,12,13610445,2.72
passgan,ashleymadison,all-12-100-80,500000000,1,51678,0.01
passgan,ashleymadison,all-12-100-80,500000000,2,217409,0.04
passgan,ashleymadison,all-12-100-80,500000000,3,2160399,0.43
passgan,ashleymadison,all-12-100-80,500000000,4,18176189,3.64
passgan,ashleymadison,all-12-100-80,500000000,5,50708834,10.14
passgan,ashleymadison,all-12-100-80,500000000,6,102804558,20.57
passgan,ashleymadison,all-12-100-80,500000000,7,102432430,20.49
passgan,ashleymadison,all-12-100-80,500000000,8,123744709,24.76
passgan,ashleymadison,all-12-100-80,500000000,9,57114387,11.43
passgan,ashleymadison,all-12-100-80,500000000,10,33016468,6.6
passgan,ashleymadison,all-12-100-80,500000000,11,7266329,1.45
passgan,ashleymadison,all-12-100-80,500000000,12,2180746,0.44
passgan,gmail,all-12-100-80,500000000,1,670823,0.13
passgan,gmail,all-12-100-80,500000000,2,1567457,0.31
passgan,gmail,all-12-100-80,500000000,3,3683926,0.74
