model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
passgan,libero,all-12-100-80,500000000,r1,138666962,27.75
passgan,libero,all-12-100-80,500000000,r2,126630509,25.34
passgan,libero,all-12-100-80,500000000,r3,291699,0.06
passgan,libero,all-12-100-80,500000000,r4,80101311,16.03
passgan,libero,all-12-100-80,500000000,r5,144,0.0
passgan,libero,all-12-100-80,500000000,r6,248662948,49.76
passgan,libero,all-12-100-80,500000000,r7,8894402,1.78
passgan,libero,all-12-100-80,500000000,r8,563626,0.11
passgan,libero,all-12-100-80,500000000,r9,22790717,4.56
passgan,libero,all-12-100-80,500000000,r10,178095618,35.64
passgan,libero,all-12-100-80,500000000,r11,6408157,1.28
passgan,libero,all-12-100-80,500000000,r12,2334460,0.47
passgan,libero,all-12-100-80,500000000,r13,1756065,0.35
passgan,libero,all-12-100-80,500000000,r14,108671321,21.75
passgan,libero,all-12-100-80,500000000,r15,1795542,0.36
passgan,libero,all-12-100-80,500000000,r16,452772,0.09
passgan,libero,all-12-100-80,500000000,r17,3394803,0.68
passgan,libero,all-12-100-80,500000000,r18,2044410,0.41
passgan,libero,all-12-100-80,500000000,r19,36208766,7.25
passgan,000webhost,all-12-100-80,500000000,r1,8537401,1.71
passgan,000webhost,all-12-100-80,500000000,r2,5162209,1.03
passgan,000webhost,all-12-100-80,500000000,r3,94231,0.02
passgan,000webhost,all-12-100-80,500000000,r4,22272268,4.45
passgan,000webhost,all-12-100-80,500000000,r5,1001,0.0
passgan,000webhost,all-12-100-80,500000000,r6,405753055,81.15
passgan,000webhost,all-12-100-80,500000000,r7,3408813,0.68
passgan,000webhost,all-12-100-80,500000000,r8,1764234,0.35
passgan,000webhost,all-12-100-80,500000000,r9,58244050,11.65
passgan,000webhost,all-12-100-80,500000000,r10,327001896,65.4
passgan,000webhost,all-12-100-80,500000000,r11,11280360,2.26
passgan,000webhost,all-12-100-80,500000000,r12,1376698,0.28
passgan,000webhost,all-12-100-80,500000000,r13,6145296,1.23
passgan,000webhost,all-12-100-80,500000000,r14,58664391,11.73
