model,dataset,test-size,key,percentage
passgan,ashleymadison,9888,9,2.09
passgan,ashleymadison,14721,6,42.88
passgan,ashleymadison,18668,8,8.67
passgan,ashleymadison,5385,5,59.42
passgan,ashleymadison,7228,10,0.28
passgan,ashleymadison,13723,7,21.42
passgan,ashleymadison,1633,11,0.0
passgan,ashleymadison,1926,4,78.45
passgan,ashleymadison,155,3,83.23
passgan,ashleymadison,966,12,0.0
passgan,ashleymadison,21,2,100.0
passgan,ashleymadison,6,1,83.33
passgan,libero,31477,8,25.44
passgan,libero,17438,9,12.12
passgan,libero,9459,7,31.05
passgan,libero,12247,10,5.49
passgan,libero,12737,6,56.91
passgan,libero,6487,11,2.64
passgan,libero,4697,12,0.43
passgan,libero,44,5,38.64
passgan,libero,27,4,62.96
passgan,libero,2,3,0.0
passgan,libero,1,2,0.0
passgan,mailru,50972,10,0.37
passgan,mailru,135007,8,13.41
passgan,mailru,85038,7,16.92
passgan,mailru,29474,12,0.0
passgan,mailru,79124,6,47.31
passgan,mailru,74501,9,7.9
passgan,mailru,36530,11,0.02
passgan,mailru,4663,5,51.45
passgan,mailru,3013,4,68.74
passgan,mailru,111,3,69.37
passgan,mailru,1,1,100.0
passgan,mailru,2,2,100.0
passgan,gmail,93461,7,12.59
passgan,gmail,106116,6,41.84
passgan,gmail,121286,10,0.1
passgan,gmail,217137,8,4.79
passgan,gmail,109135,9,0.72
passgan,gmail,27565,11,0.0
passgan,gmail,5044,4,77.72
passgan,gmail,16700,5,62.5
passgan,gmail,17203,12,0.0
passgan,gmail,2080,3,35.05
passgan,gmail,197,2,60.91
passgan,gmail,27,1,85.19
passgan,taobao,159572,11,0.62
passgan,taobao,230425,9,3.2
passgan,taobao,169805,7,37.39
passgan,taobao,100824,12,0.34
passgan,taobao,109352,6,39.32
passgan,taobao,210559,8,13.24
passgan,taobao,233478,10,1.49
passgan,taobao,1246,4,30.9
passgan,taobao,249,3,18.07
passgan,taobao,1699,5,26.78
passgan,taobao,55,2,7.27
passgan,taobao,28,1,0.0
passgan,000webhost,537956,8,3.3
passgan,000webhost,375335,10,0.26
passgan,000webhost,179285,7,8.0
passgan,000webhost,109152,6,14.53
passgan,000webhost,206791,12,0.0
passgan,000webhost,445,5,16.4
passgan,000webhost,281474,11,0.03
passgan,000webhost,379528,9,1.4
passgan,000webhost,109,2,46.79
passgan,000webhost,154,4,32.47
passgan,000webhost,126,3,23.81
passgan,000webhost,55,1,52.73
passgan,rockyou,194247,11,0.01
passgan,rockyou,463803,10,0.18
passgan,rockyou,651286,7,16.61
passgan,rockyou,83059,5,43.2
passgan,rockyou,761164,8,5.83
passgan,rockyou,594288,6,37.54
passgan,rockyou,529298,9,0.8
passgan,rockyou,121713,12,0.0
passgan,rockyou,6130,4,64.55
passgan,rockyou,774,3,54.78
passgan,rockyou,108,2,53.7
passgan,rockyou,21,1,76.19
passgan,linkedin,1336390,7,7.34
passgan,linkedin,2982323,8,3.14
passgan,linkedin,1521295,10,0.17
passgan,linkedin,1085113,6,17.86
passgan,linkedin,794698,11,0.02
passgan,linkedin,1755937,9,0.61
passgan,linkedin,507388,12,0.0
passgan,linkedin,516,5,0.78
passgan,linkedin,44,4,2.27
passgan,linkedin,10,1,0.0
passgan,linkedin,1,3,0.0
plr_gan,ashleymadison,1926,4,85.72
plr_gan,ashleymadison,9888,9,1.01
plr_gan,ashleymadison,18668,8,7.41
plr_gan,ashleymadison,14721,6,47.88
plr_gan,ashleymadison,13723,7,19.16
plr_gan,ashleymadison,5385,5,64.75
plr_gan,ashleymadison,7228,10,0.18
plr_gan,ashleymadison,966,12,0.0
plr_gan,ashleymadison,155,3,87.74
plr_gan,ashleymadison,1633,11,0.06
plr_gan,ashleymadison,21,2,95.24
plr_gan,ashleymadison,6,1,83.33
plr_gan,libero,31477,8,26.48
plr_gan,libero,12737,6,65.7
plr_gan,libero,17438,9,10.81
plr_gan,libero,9459,7,34.13
plr_gan,libero,12247,10,4.57
plr_gan,libero,4697,12,0.34
plr_gan,libero,6487,11,1.82
plr_gan,libero,27,4,37.04
plr_gan,libero,44,5,34.09
plr_gan,libero,2,3,50.0
plr_gan,libero,1,2,100.0
plr_gan,mailru,74501,9,16.93
plr_gan,mailru,85038,7,29.48
plr_gan,mailru,135007,8,15.96
plr_gan,mailru,79124,6,52.95
plr_gan,mailru,36530,11,0.1
plr_gan,mailru,29474,12,0.06
plr_gan,mailru,50972,10,0.67
plr_gan,mailru,4663,5,49.6
plr_gan,mailru,3013,4,76.0
plr_gan,mailru,111,3,61.26
plr_gan,mailru,2,2,100.0
plr_gan,mailru,1,1,100.0
