model,dataset,test-size,key,percentage
passgan,ashleymadison,11.05,r6,11.05
passgan,ashleymadison,13.27,r10,13.27
passgan,ashleymadison,22.91,r1,22.91
passgan,ashleymadison,24.14,r2,24.14
passgan,ashleymadison,56.55,r14,56.55
passgan,ashleymadison,61.78,r4,61.78
passgan,ashleymadison,23.96,r19,23.96
passgan,ashleymadison,0.0,r3,0.0
passgan,ashleymadison,0.0,r9,0.0
passgan,ashleymadison,0.0,r13,0.0
passgan,ashleymadison,4.77,r12,4.77
passgan,ashleymadison,1.37,r11,1.37
passgan,ashleymadison,1.32,r7,1.32
passgan,ashleymadison,3.33,r18,3.33
passgan,ashleymadison,0.0,r8,0.0
passgan,ashleymadison,0.0,r17,0.0
passgan,ashleymadison,0.0,r16,0.0
passgan,ashleymadison,0.0,r15,0.0
passgan,ashleymadison,0.0,r5,0.0
passgan,libero,23.79,r1,23.79
passgan,libero,26.33,r2,26.33
passgan,libero,12.54,r6,12.54
passgan,libero,15.74,r10,15.74
passgan,libero,24.42,r19,24.42
passgan,libero,57.58,r4,57.58
passgan,libero,45.94,r14,45.94
passgan,libero,0.16,r3,0.16
passgan,libero,0.06,r9,0.06
passgan,libero,0.31,r7,0.31
passgan,libero,0.35,r11,0.35
passgan,libero,1.84,r12,1.84
passgan,libero,0.0,r8,0.0
passgan,libero,0.0,r13,0.0
passgan,libero,1.09,r18,1.09
passgan,libero,0.0,r16,0.0
passgan,libero,0.0,r17,0.0
passgan,libero,0.0,r15,0.0
passgan,libero,0.0,r5,0.0
passgan,mailru,6.89,r6,6.89
passgan,mailru,5.86,r10,5.86
passgan,mailru,21.13,r19,21.13
passgan,mailru,9.53,r1,9.53
passgan,mailru,11.44,r2,11.44
passgan,mailru,64.05,r4,64.05
passgan,mailru,53.08,r14,53.08
passgan,mailru,0.19,r12,0.19
passgan,mailru,0.0,r7,0.0
passgan,mailru,0.13,r8,0.13
passgan,mailru,0.29,r13,0.29
passgan,mailru,0.05,r9,0.05
passgan,mailru,0.12,r3,0.12
passgan,mailru,0.0,r11,0.0
passgan,mailru,0.0,r15,0.0
passgan,mailru,0.29,r17,0.29
passgan,mailru,0.0,r18,0.0
passgan,mailru,0.0,r16,0.0
passgan,mailru,0.0,r5,0.0
passgan,gmail,32.76,r4,32.76
passgan,gmail,29.83,r14,29.83
passgan,gmail,4.08,r6,4.08
passgan,gmail,4.95,r10,4.95
passgan,gmail,13.59,r1,13.59
passgan,gmail,13.59,r2,13.59
passgan,gmail,11.07,r19,11.07
passgan,gmail,0.02,r9,0.02
passgan,gmail,0.19,r7,0.19
passgan,gmail,0.0,r16,0.0
passgan,gmail,1.85,r12,1.85
passgan,gmail,0.29,r15,0.29
passgan,gmail,0.19,r11,0.19
passgan,gmail,0.0,r5,0.0
passgan,gmail,0.08,r8,0.08
passgan,gmail,0.0,r17,0.0
passgan,gmail,0.13,r13,0.13
passgan,taobao,3.36,r6,3.36
passgan,taobao,3.65,r10,3.65
passgan,taobao,40.16,r4,40.16
passgan,taobao,39.04,r14,39.04
passgan,taobao,14.54,r19,14.54
passgan,taobao,4.67,r1,4.67
passgan,taobao,4.76,r2,4.76
passgan,taobao,1.68,r8,1.68
passgan,taobao,0.13,r9,0.13
passgan,taobao,0.42,r11,0.42
passgan,taobao,0.0,r3,0.0
passgan,taobao,1.83,r13,1.83
passgan,taobao,0.0,r12,0.0
passgan,taobao,0.0,r7,0.0
