models,dataset,# unique psw,# matches,% guesses,previous best,delta
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",RockYou,2125944171,2195048,64.44%,60.47%,3.97%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",000webhost,2632260369,688217,33.24%,32.28%,0.96%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",AshleyMad,1918639710,50652,68.15%,65.66%,2.49%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",Gmail,2179223683,422854,59.06%,56.67%,2.39%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",Libero,2087964926,59894,63.30%,61.60%,1.70%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",LinkedIn,2406972090,4246777,42.53%,36.37%,6.16%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",Mailru,2171313568,279320,56.03%,54.95%,1.08%
"PassGAN, PLR, PassFlow, PassGPT, VGPT2, FLA",Taobao,2111931094,586512,48.18%,45.53%,2.65%
"PassGAN, PLR, PassFlow, PassGPT, FLA",RockYou,1711534326,2187533,64.22%,60.47%,3.75%
"PassGAN, PLR, PassFlow, PassGPT, FLA",000webhost,2148589969,686773,33.17%,32.28%,0.89%
"PassGAN, PLR, PassFlow, PassGPT, FLA",AshleyMad,1563426387,50633,68.12%,65.66%,2.46%
"PassGAN, PLR, PassFlow, PassGPT, FLA",Gmail,1742804952,421408,58.85%,56.67%,2.18%
"PassGAN, PLR, PassFlow, PassGPT, FLA ",Libero,1668534982,59890,63.29%,61.60%,1.69%
"PassGAN, PLR, PassFlow, PassGPT, FLA ",LinkedIn,1961143321,4223098,42.29%,36.37%,5.92%
"PassGAN, PLR, PassFlow, PassGPT, FLA ",Mailru,1723346844,278806,55.93%,54.95%,0.98%
"PassGAN, PLR, PassFlow, PassGPT, FLA ",Taobao,1675768638,583946,47.97%,45.53%,2.44%
"PLR, PassFlow, PassGPT, FLA",RockYou,1487438129,2181273,64.04%,60.47%,3.57%
"PLR, PassFlow, PassGPT, FLA",000webhost,1790445296,684939,33.08%,32.28%,0.80%
"PLR, PassFlow, PassGPT, FLA",AshleyMad,1364453224,50455,67.88%,65.66%,2.22%
"PLR, PassFlow, PassGPT, FLA",Gmail,1519764820,420193,58.69%,56.67%,2.02%
"PLR, PassFlow, PassGPT, FLA",Libero,1480502317,59691,63.08%,61.60%,1.48%
"PLR, PassFlow, PassGPT, FLA",LinkedIn,1658824813,4205264,42.12%,36.37%,5.75%
"PLR, PassFlow, PassGPT, FLA",Mailru,1482155220,278344,55.84%,54.95%,0.89%
"PLR, PassFlow, PassGPT, FLA",Taobao,1446897838,580293,47.67%,45.53%,2.14%
"PLR, PassGPT, FLA",RockYou,1082684747,2167947,63.65%,60.47%,3.18%
"PLR, PassGPT, FLA",000webhost,1324117445,682793,32.97%,32.28%,0.69%
"PLR, PassGPT, FLA",AshleyMad,936979088,50131,67.45%,65.66%,1.79%
"PLR, PassGPT, FLA",Gmail,1106476629,417890,58.36%,56.67%,1.69%
"PLR, PassGPT, FLA",Libero,1004159332,59610,63.00%,61.60%,1.40%
"PLR, PassGPT, FLA",LinkedIn,1207272388,4181919,41.88%,36.37%,5.51%
"PLR, PassGPT, FLA",Mailru,1096079753,277316,55.63%,54.95%,0.68%
"PLR, PassGPT, FLA",Taobao,1144811001,575183,47.25%,45.53%,1.72%
"PassGPT, FLA",RockYou,751130936,2151801,63.17%,60.47%,2.70%
"PassGPT, FLA",000webhost,881620303,679047,32.79%,32.28%,0.51%
"PassGPT, FLA",AshleyMad,725547950,49893,67.13%,65.66%,1.47%
"PassGPT, FLA",Gmail,777019744,415546,58.04%,56.67%,1.37%
"PassGPT, FLA",Libero,774837348,59363,62.74%,61.60%,1.14%
"PassGPT, FLA",LinkedIn,809731170,4141513,41.48%,36.37%,5.11%
"PassGPT, FLA",Mailru,786349931,276681,55.50%,54.95%,0.55%
"PassGPT, FLA",Taobao,824874679,570012,46.82%,45.53%,1.29%
FLA,RockYou,818102367,2059695,60.47%,60.47%,0.00%
FLA,000webhost,504004520,668469,32.28%,32.28%,0.00%
FLA,AshleyMad,632450496,48800,65.66%,65.66%,0.00%
FLA,Gmail,659929916,405771,56.67%,56.67%,0.00%
FLA,Libero,502470128,58292,61.60%,61.60%,0.00%
FLA,LinkedIn,712141771,3631686,36.37%,36.37%,0.00%
FLA,Mailru,512422431,273891,54.95%,54.95%,0.00%
FLA,Taobao,790923688,554337,45.53%,45.53%,0.00%
